Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants,
123456789,Dummy zoom meeting CSV participants file,04/15/2020 03:42:15 PM,04/15/2020 06:07:30 PM,liz.lamm@pox.tu-berlin.de,146,97,

Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes)
Bill Frosch,bill.frosch@pond.rwth-aachen.de,04/15/2020 03:44:01 PM,04/15/2020 05:51:31 PM,128
Mary Schlange,mary@carnegie.edu,04/15/2020 04:31:08 PM,04/15/2020 05:52:31 PM,82
Tim Bär,tbaer@xfu.ca,04/15/2020 03:44:14 PM,04/15/2020 06:06:22 PM,143
Helen Scharf,helen.scharf@fmail.com,04/15/2020 04:09:48 PM,04/15/2020 05:31:24 PM,82
Tom Kaninchen,tom.kaninchen@kix.edu,04/15/2020 03:45:29 PM,04/15/2020 06:07:29 PM,142
Andy Hamster,andy.hamster@iss.imperial.ac.uk,04/15/2020 03:49:42 PM,04/15/2020 03:49:52 PM,1
Mario Meerschweinchen,mario.meerschweinchen@wtu-berlin.de,04/15/2020 03:58:58 PM,04/15/2020 05:50:05 PM,112
Olaf Papagei,olaf.papagei@fmail.com,04/15/2020 04:01:55 PM,04/15/2020 05:58:05 PM,117
Igor Eidechse,igor.eidechse@btu.de,04/15/2020 04:12:52 PM,04/15/2020 05:15:27 PM,63
Andy Maus,andy.maus@iss.imperial.ac.uk,04/15/2020 04:50:24 PM,04/15/2020 05:53:50 PM,64
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 05:57:23 PM,04/15/2020 06:01:10 PM,4
Sam Schildkröte,sam.schildkröte@zex.uni-giesset.de,04/15/2020 03:45:34 PM,04/15/2020 06:07:30 PM,142
Vlam Huhn,vhuhn@fmail.com,04/15/2020 03:47:49 PM,04/15/2020 05:56:34 PM,129
Tobby Küken,tobby.küken@el-international.com,04/15/2020 03:48:33 PM,04/15/2020 06:03:34 PM,136
Robbie Qualle,robbie.qualle@fmail.de,04/15/2020 03:50:36 PM,04/15/2020 06:07:30 PM,137
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 03:57:57 PM,04/15/2020 04:55:14 PM,58
Anna Schaf,anna.schaf@stiftung.de,04/15/2020 03:59:20 PM,04/15/2020 05:58:04 PM,119
Liz Lamm,liz.lamm@pox.tu-berlin.de,04/15/2020 04:00:46 PM,04/15/2020 05:51:24 PM,111
David Ziege,david.ziege@pond.rwth-aachen.de,04/15/2020 05:04:42 PM,04/15/2020 05:49:11 PM,45
Neil Esel,neil.esel@fmail.com,04/15/2020 03:46:49 PM,04/15/2020 03:51:20 PM,5
Barry Ente,barry.ente@cork.ie,04/15/2020 03:42:15 PM,04/15/2020 06:07:29 PM,146
Adrian Hase,adrian.hase@iss.imperial.ac.uk,04/15/2020 03:44:20 PM,04/15/2020 03:45:44 PM,2
Kasil Biene,kasil.biene@mee.ru,04/15/2020 04:08:42 PM,04/15/2020 06:02:22 PM,114
Dan Eichhörnchen,dan.eichhörnchen@intup.com,04/15/2020 04:52:43 PM,04/15/2020 05:22:23 PM,30
Tim Spinne,tim.spinne@potsdam.de,04/15/2020 05:04:15 PM,04/15/2020 05:23:25 PM,20
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 05:52:27 PM,04/15/2020 05:54:07 PM,2
Dan Wolf,dan.wolf@iiasic.ac.at,04/15/2020 03:51:52 PM,04/15/2020 05:55:29 PM,124
R. Frettchen,r.frettchen@wxx.tu-berlin.de,04/15/2020 03:58:40 PM,04/15/2020 05:52:27 PM,114
David Fledermaus,david.fledermaus@comax.edu,04/15/2020 04:02:00 PM,04/15/2020 06:07:22 PM,126
Matha Igel,matha.igel@enge.au.dk,04/15/2020 04:06:56 PM,04/15/2020 05:52:39 PM,106
Rusty Otter,rusty.otter@shop.kz,04/15/2020 04:27:54 PM,04/15/2020 05:59:37 PM,92
Natham Hirsch,natham.hirsch@fmail.com,04/15/2020 03:52:41 PM,04/15/2020 05:54:13 PM,122
Wendle Reh,wendle.reh@fmail.com,04/15/2020 03:59:57 PM,04/15/2020 04:38:28 PM,39
Stephan Bär,stephan.bär@fmail.com,04/15/2020 04:00:26 PM,04/15/2020 06:01:24 PM,121
Jack Elch,jack.elch@udd.ie,04/15/2020 04:07:09 PM,04/15/2020 05:51:03 PM,104
Mohamed Spitzmaus,mohamed.spitzmaus@fmail.com,04/15/2020 04:42:58 PM,04/15/2020 05:16:20 PM,34
Frank Wildschwein,frank.wildschwein@kim.edu,04/15/2020 03:53:49 PM,04/15/2020 05:54:56 PM,122
Francesco Löwe,francesco.löwe@ucbrussels.be,04/15/2020 03:59:30 PM,04/15/2020 05:32:09 PM,93
Joe Giraffe,joe.giraffe@utexas.edu,04/15/2020 04:00:30 PM,04/15/2020 06:07:29 PM,127
Joll Elefant,joll.elefant@uni-kassel.de,04/15/2020 04:00:52 PM,04/15/2020 05:54:46 PM,114
Jim Zebra,jim.zebra@udd.ie,04/15/2020 04:18:12 PM,04/15/2020 05:55:30 PM,98
Craig Leopard,craig.leopard@deuste.es,04/15/2020 03:55:03 PM,04/15/2020 05:52:33 PM,118
Patrick Panther,patrick.panther@dartmouth.edu,04/15/2020 03:56:38 PM,04/15/2020 06:01:58 PM,126
Dave Affe,dave.affe@atm.ac.at,04/15/2020 03:59:04 PM,04/15/2020 04:13:09 PM,15
Silvia Gepard,silvia.gepard@fmail.com,04/15/2020 04:02:42 PM,04/15/2020 06:06:21 PM,124
